RUBRIC,NUMBER,COURSE_TITLE,CREDIT_HOUR,LEVEL
WRIT,3312,WRITTEN COMMUNICATIONS IN BUS.,3,3
WRIT,3315,TECHNICAL WRITING,3,3
WRIT,4310,WRITING FOR THE PUBLIC,3,4
WRIT,4311,GRANT WRITING,3,4
WRIT,4312,RHETORIC OF POPULAR CULTURE,3,4
WRIT,4313,GRAFFITI TEXT NTWRKD POLITICS,3,4
WRIT,4391,TOPICS IN WRITING,3,4
WRIT,5130,COMPOSITION THEORY,3,5
WRIT,5131,WRITING PEDAGOGY,3,5
WRIT,5132,SEMINAR RHETORICAL THEORIES I,3,5
WRIT,5133,SEMINAR RHETORICAL THEORIES II,3,5
WRIT,5134,SPCL TOPICS DISCOURSE STUDIES,3,5
WRIT,5135,SPECIAL TOPICS IN LINGUISTICS,3,5
WRIT,5136,WRITING FOR GRADUATE SCHOOL,3,5
WRIT,5137,GRANT WRITING PROPOSAL WRITING,3,5
WRIT,5138,MULTIMEDIA COMPOSITION THEORY,3,5
WRIT,5139,DIGITAL RHETORIC,3,5
WRIT,5931,RESEARCH TOPICS IN WRITING,3,5
WRIT,5939,INDT STUDY IN WRITING,3,5
WRIT,6739,INTERNSHIP,3,5
